C_CODE,COUNTY,TOTAL_REG.,NUMBER_VOTING,PERCENT_TURNOUT,DEM_REG.,NUMBER_VOTING,PERCENT_TURNOUT,REP_REG.,NUMBER_VOTING,PERCENT_TURNOUT,OTHER_REG.,NUMBER_VOTING,PERCENT_TURNOUT,
81,MASON,"12,060","7,306",60.5,"8,114","5,112",63,"3,156","1,902",60.2, 790 ,292,36.9,
82,MEADE,"17,642","11,487",65.1,"11,124","7,536",67.7,"5,405","3,417",63.2," 1,113 ",534,47.9,
83,MENIFEE,"5,173","2,568",49.6,"4,220","2,093",49.5,727,409,56.2, 226 ,66,29.2,
84,MERCER,"16,074","10,350",64.3,"10,876","7,161",65.8,"4,430","2,836",64, 768 ,353,45.9,
85,METCALFE,"7,427","4,352",58.5,"4,154","2,386",57.4,"2,932","1,813",61.8, 341 ,153,44.8,
86,MONROE,"8,449","4,895",57.9,"1,156",654,56.5,"7,142","4,184",58.5, 151 ,57,37.7,
87,MONTGOMERY,"17,665","10,660",60.3,"13,173","8,037",61,"3,875","2,354",60.7, 617 ,269,43.5,
88,MORGAN,"8,982","4,546",50.6,"8,212","4,160",50.6,682,355,52, 88 ,31,35.2,
89,MUHLENBERG,"22,475","13,101",58.2,"16,915","9,997",59.1,"4,579","2,773",60.5, 981 ,331,33.7,
90,NELSON,"28,627","18,675",65.2,"18,768","12,879",68.6,"7,482","4,887",65.3," 2,377 ",909,38.2,
91,NICHOLAS,"5,341","3,067",57.4,"4,534","2,679",59,628,334,53.1, 179 ,54,30.1,
92,OHIO,"16,314","10,051",61.6,"8,124","5,040",62,"7,436","4,661",62.6, 754 ,350,46.4,
93,OLDHAM,"39,811","29,936",75.1,"15,248","11,425",74.9,"20,727","16,291",78.5," 3,836 ","2,220",57.8,
94,OWEN,"7,701","4,871",63.2,"5,696","3,637",63.8,"1,674","1,070",63.9, 331 ,164,49.5,
95,OWSLEY,"3,510","1,673",47.6,843,423,50.1,"2,611","1,230",47.1, 56 ,20,35.7,
96,PENDLETON,"9,841","5,881",59.7,"6,270","3,776",60.2,"2,963","1,843",62.2, 608 ,262,43,
97,PERRY,"20,864","10,585",50.7,"16,263","7,979",49,"4,199","2,454",58.4, 402 ,152,37.8,
98,PIKE,"46,337","23,626",50.9,"35,230","17,530",49.7,"9,800","5,685",58," 1,307 ",411,31.4,
99,POWELL,"9,566","5,100",53.3,"7,141","3,794",53.1,"2,061","1,193",57.8, 364 ,113,31,
100,PULASKI,"43,078","26,604",61.7,"11,839","6,734",56.8,"28,710","18,816",65.5," 2,529 ","1,054",41.6,
101,ROBERTSON,"1,708","1,055",61.7,"1,452",911,62.7,225,125,55.5, 31 ,19,61.2,
102,ROCKCASTLE,"11,615","6,285",54.1,"2,348","1,221",52,"8,787","4,887",55.6, 480 ,177,36.8,
103,ROWAN,"13,759","8,385",60.9,"9,534","5,807",60.9,"3,408","2,212",64.9, 817 ,366,44.7,
104,RUSSELL,"12,860","7,713",59.9,"3,214","1,955",60.8,"9,312","5,623",60.3, 334 ,135,40.4,
105,SCOTT,"29,205","19,978",68.4,"16,786","11,540",68.7,"10,632","7,443",70," 1,787 ",995,55.6,
106,SHELBY,"26,273","18,747",71.3,"15,181","10,770",70.9,"9,370","7,060",75.3," 1,722 ",917,53.2,
107,SIMPSON,"11,787","7,483",63.4,"8,034","5,294",65.8,"2,817","1,750",62.1, 936 ,439,46.9,
108,SPENCER,"11,420","8,251",72.2,"6,524","4,622",70.8,"4,255","3,235",76, 641 ,394,61.4,
109,TAYLOR,"17,023","10,964",64.4,"8,401","5,194",61.8,"7,897","5,441",68.8, 725 ,329,45.3,
110,TODD,"7,925","5,006",63.1,"6,315","4,103",64.9,"1,374",816,59.3, 236 ,87,36.8,
111,TRIGG,"10,020","6,638",66.2,"6,691","4,477",66.9,"2,846","1,909",67, 483 ,252,52.1,
112,TRIMBLE,"6,429","3,870",60.1,"4,968","3,054",61.4,"1,171",721,61.5, 290 ,95,32.7,
113,UNION,"9,872","6,126",62,"8,265","5,310",64.2,"1,276",698,54.7, 331 ,118,35.6,
114,WARREN,"65,079","44,484",68.3,"37,287","25,781",69.1,"23,043","16,191",70.2," 4,749 ","2,512",52.8,
115,WASHINGTON,"8,067","5,442",67.4,"5,569","3,819",68.5,"2,252","1,509",67, 246 ,114,46.3,
116,WAYNE,"13,984","7,447",53.2,"5,460","2,873",52.6,"8,064","4,407",54.6, 460 ,167,36.3,
117,WEBSTER,"9,241","5,568",60.2,"7,704","4,800",62.3,"1,250",673,53.8, 287 ,95,33.1,
118,WHITLEY,"26,132","14,133",54,"6,912","3,430",49.6,"18,112","10,321",56.9," 1,108 ",382,34.4,
119,WOLFE,"5,910","3,113",52.6,"5,278","2,823",53.4,492,263,53.4, 140 ,27,19.2,
120,WOODFORD,"17,666","12,259",69.3,"10,708","7,683",71.7,"5,715","3,919",68.5," 1,243 ",657,52.8,
